Tools,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,Frame,Time [sec],Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227158,709.283,1,OK,NaN,86.6880305,169.0092885,0.0000000,116.964,108.939,-298.698,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227166,709.308,1,OK,NaN,86.6455551,169.0104899,0.0000000,116.835,108.742,-298.689,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227174,709.333,1,OK,NaN,86.6101949,169.0371420,0.0000000,116.739,108.561,-298.669,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227182,709.358,1,OK,NaN,86.5990520,169.0776584,0.0000000,116.699,108.387,-298.708,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227190,709.383,1,OK,NaN,86.6207000,169.1067958,0.0000000,116.706,108.242,-298.860,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227198,709.408,1,OK,NaN,86.7639616,169.0648449,0.0000000,115.604,107.693,-299.035,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227206,709.433,1,OK,NaN,86.8244811,169.1431047,0.0000000,115.256,107.159,-299.372,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227214,709.458,1,OK,NaN,86.8914959,169.3346923,0.0000000,114.901,106.116,-299.320,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227222,709.483,1,OK,NaN,86.9240523,169.7886811,0.0000000,115.072,104.797,-299.824,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227230,709.508,1,OK,NaN,87.0190863,170.1884248,0.0000000,114.811,102.971,-300.047,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227238,709.533,1,OK,NaN,87.1409722,169.9837912,-0.0000000,113.880,102.220,-300.338,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227246,709.558,1,OK,NaN,87.2116858,168.7953674,0.0000000,112.417,103.338,-299.487,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227254,709.583,1,OK,NaN,87.3871144,168.5771967,0.0000000,112.568,103.052,-300.185,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,227262,709.608,1,OK,NaN,87.3812667,169.2252042,-0.0000000,112.129,101.648,-300.418,0.0000000,0
