Tools,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,Frame,Time [sec],Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214310,669.166,1,OK,88.1189261,85.5411695,175.9588414,0.0000000,152.629,6.857,-306.398,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214350,669.291,1,OK,NaN,85.7718015,175.6407047,0.0000000,151.439,7.019,-306.444,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214358,669.316,1,OK,NaN,85.8485126,175.4902495,0.0000000,150.169,8.023,-306.642,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214366,669.341,1,OK,NaN,86.0088308,175.2112634,-0.0000000,149.989,8.254,-306.514,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214374,669.366,1,OK,NaN,85.8314803,175.2112908,0.0000000,149.669,8.665,-306.934,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214382,669.391,1,OK,NaN,85.9146558,175.1238101,-0.0000000,149.799,8.672,-306.798,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214390,669.416,1,OK,NaN,85.9074802,174.9658143,0.0000000,148.934,9.491,-307.083,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214398,669.441,1,OK,NaN,86.0915855,174.6118187,0.0000000,148.506,11.318,-306.797,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214406,669.466,1,OK,NaN,86.0003930,174.5782419,0.0000000,147.844,11.193,-307.384,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214414,669.491,1,OK,NaN,86.2218130,174.6833723,0.0000000,148.129,11.321,-307.081,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214422,669.516,1,OK,NaN,86.1534612,174.7069635,0.0000000,147.533,11.037,-307.225,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214430,669.541,1,OK,NaN,86.3118139,174.5452379,-0.0000000,147.488,11.089,-306.874,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214438,669.566,1,OK,NaN,86.1279927,174.6146602,-0.0000000,146.745,11.556,-307.072,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214446,669.591,1,OK,NaN,86.2038704,174.7077424,-0.0000000,146.894,10.856,-306.911,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214454,669.616,1,OK,NaN,86.2153195,174.8754774,-0.0000000,146.716,10.475,-306.859,0.0000000,0
1,Port 0x0A: NDI 080051  s/n:3A997400 Channel:0,214462,669.641,1,OK,NaN,86.1968415,174.6505734,0.0000000,146.328,10.499,-306.357,0.0000000,0
