Marker,Corner_X,Corner_Y,Corner_Z
1,7.5604415,15.666206,3.5261555
1,3.8522372,10.562311,13.73397
1,-7.5604415,12.220667,10.41725
1,-3.8522372,17.324562,0.20943546
2,17.691444,1.3273906,-0.52432823
2,14.537063,-8.380814,5.7844477
2,10.19543,-1.3273906,14.467733
2,13.349811,8.380814,8.1589575
3,14.537063,8.380814,5.7844477
3,17.691444,-1.3273906,-0.52432823
3,13.349811,-8.380814,8.1589575
3,10.19543,1.3273906,14.467733
4,-10.562311,-3.8522372,13.73397
4,-15.666206,-7.5604415,3.5261555
4,-17.324562,3.8522372,0.20943546
4,-12.220667,7.5604415,10.41725
5,-16.626713,6.0,1.6051369
5,-11.26016,6.0,12.338268
5,-11.26016,-6.0,12.338268
5,-16.626713,-6.0,1.6051369
